X,Y,WindField,speed,heading,dx,dy,ratio,style_css,direction
81.0450268398375,12.4469179370029,wind_225,8.4,182.12619320429127,-76.56,-324.08,0.82,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-166.708249261842
81.3159513456697,12.4987578259907,wind_226,5.7,182.69902872334933,-79.45999999999998,-323.38,0.82,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-166.194944820212
81.4062414941246,12.5159689015703,wind_227,8.6,185.7101317509908,-96.57,-318.69,0.9,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-163.142050318578
80.124736121375,12.3621754832738,wind_228,8.6,294.56160654994613,-272.28,191.71,0.93,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-54.8509540937746
80.305009412515,12.3973213013458,wind_229,9.3,306.67742473976995,-225.94,244.63,0.88,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-42.7255338045634
80.144501392271,11.3368315443217,wind_23,2.2,261.5751784739159,-332.57,16.95,0.91,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-87.0823469617477
80.214777760932,12.3797469407273,wind_230,12.8,174.470021990209,-33.02,-331.36,0.91,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-174.309266631931
80.485508723251,12.4323733067714,wind_231,14.9,254.69777808292423,-332.19,-23.22,0.8,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-93.9984573582304
80.3952539653963,12.4148614017017,wind_232,19.5,287.9561064679972,-292.15,159.81,0.88,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-61.3207444012722
80.5757738955921,12.4498567378748,wind_233,6.2,259.5263708179217,-332.97,4.14,0.91,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-89.2876466200763
80.6660496745776,12.4673116246251,wind_234,16.9,206.8370177446204,-207.05,-260.8,0.9,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-141.553820550125
80.8466364619576,12.5021223534494,wind_235,6.4,208.56539180047824,-214.67,-254.57,0.82,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-139.860232835725
80.7563376796734,12.4847338756517,wind_236,10.2,226.98907863532463,-284.24,-173.48,0.87,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-121.396939829273
80.9369478756812,12.5194826681033,wind_237,6.4,195.55918415711045,-151.01,-296.79,0.8,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-153.032509898166
81.0272704690655,12.5368145369647,wind_238,13.5,194.00040942430084,-142.63,-300.91,0.74,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-154.639256557977
81.1176018880325,12.5541176330623,wind_239,7.8,194.7376341827044,-146.42,-299.08,0.84,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-153.915108502715
80.4140267922516,11.3899975142316,wind_24,12.4,325.93222228228404,-131.62,305.88,0.9,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-23.2821837951602
81.2079439104675,12.5713863355556,wind_240,5.8,198.98972177619004,-168.37,-287.3,0.87,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-149.627886253029
81.2983019949478,12.5886225840983,wind_241,5.3,186.5215428071324,-101.19,-317.25,0.85,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-162.309407139241
